Lattitude,Longitude
-111.89,40.92
-87.14,37.27
-71.40,41.89
-73.22,40.79
-122.97,46.72
-89.13,38.53
-85.70,34.16
-87.15,32.94
-77.43,38.84
-87.26,30.98
-118.06,33.87
-78.83,34.33
-89.96,29.94
-111.95,33.31
-111.93,33.32
-111.88,33.32
-111.86,33.35
-111.86,33.28
-111.84,33.32
-111.84,33.25
-95.12,29.78
-77.44,38.89
-95.45,37.66
-79.09,35.85
-79.03,35.93
-82.02,37.96
-81.21,41.58
-81.71,38.33
-81.67,38.39
-81.64,38.35
-81.63,38.35
-81.57,38.31
-79.97,32.73
-71.07,42.38
-88.31,44.30
-84.83,42.57
-80.94,35.23
-80.93,35.12
-80.90,35.22
-80.90,35.15
-80.89,35.24
-80.88,35.27
-80.87,35.20
-80.86,35.09
-80.85,35.27
-80.85,35.31
-80.84,35.23
-80.83,35.15
-80.83,35.21
-80.83,35.21
-80.80,35.25
-80.78,35.20
-80.76,35.21
-80.75,35.30
-80.74,35.14
-80.72,35.20
-80.65,35.18
-76.77,38.49
-78.50,38.01
-78.50,38.05
-78.49,38.06
-78.46,38.03
-118.59,34.26
-85.33,35.10
-85.31,35.05
-85.28,35.02
-85.26,35.08
-85.23,35.01
-85.21,34.99
-85.20,35.08
-85.18,35.03
-85.16,35.04
-85.16,35.04
-85.15,35.00
-122.98,46.67
-122.96,46.69
-122.90,46.61
-71.36,42.62
-71.04,42.40
-71.02,42.40
-83.32,35.48
-75.05,39.92
-75.03,39.94
-75.02,39.89
-74.98,39.91
-81.37,35.39
-84.13,43.19
-76.41,36.82
-76.40,36.86
-76.27,36.75
-76.25,36.79
-76.24,36.74
-76.24,36.79
-76.23,36.70
-76.23,36.82
-72.88,41.56
-81.19,34.71
-77.41,37.36
-77.33,37.34
-76.29,38.98
-74.70,40.79
-77.51,37.37
-81.34,41.52
-87.04,41.62
-76.07,39.22
-104.80,41.12
-104.80,41.16
-104.79,41.14
-87.81,41.98
-87.79,41.95
-87.79,41.92
-87.77,41.98
-87.76,41.80
-87.75,41.96
-87.75,41.91
-87.74,41.80
-87.74,41.78
-87.74,41.75
-87.74,41.93
-87.73,41.90
-87.72,41.82
-87.72,41.79
-87.72,41.77
-87.72,41.77
-87.72,42.00
-87.71,41.97
-87.71,41.84
-87.70,41.78
-87.70,41.75
-87.70,41.69
-87.70,41.95
-87.70,41.94
-87.70,41.91
-87.69,41.97
-87.69,42.02
-87.69,41.85
-87.69,41.93
-87.69,41.86
-87.69,41.83
-87.69,41.90
-87.68,41.87
-87.68,41.91
-87.68,41.81
-87.67,41.95
-87.67,41.84
-87.66,41.72
-87.66,41.93
-87.66,41.95
-87.66,41.98
-87.65,41.96
-87.64,41.77
-87.64,41.93
-87.64,41.87
-87.63,41.91
-87.63,41.88
-87.63,41.88
-87.62,41.85
-87.62,41.74
-87.62,41.72
-87.61,41.75
-87.59,41.80
-87.59,41.76
-87.54,41.65
-87.53,41.70
-87.67,41.51
-87.65,41.52
-87.80,41.71
-87.78,41.71
-88.08,30.77
-97.94,35.02
-72.58,42.18
-82.87,29.50
-86.35,33.26
-83.02,39.33
-82.98,39.34
-82.98,39.35
-117.69,34.03
-117.72,33.99
-85.55,30.75
-91.43,44.89
-91.39,44.93
-77.09,35.52
-80.42,37.16
-80.41,37.13
-117.09,32.63
-117.07,32.61
-117.06,32.65
-117.02,32.64
-87.75,41.85
-84.63,39.15
-84.61,39.09
-84.60,39.26
-84.60,39.12
-84.59,39.24
-84.57,39.11
-84.55,39.22
-84.52,39.13
-84.52,39.13
-84.52,39.22
-84.50,39.28
-84.49,39.15
-84.47,39.26
-84.46,39.19
-84.45,39.21
-84.43,39.18
-84.38,39.20
-84.38,39.20
-84.38,39.08
-84.31,39.07
-84.27,39.10
-93.16,45.14
-82.95,39.58
-121.27,38.71
-121.27,38.68
-86.59,32.80
-81.16,35.72
-72.33,43.37
-72.32,43.37
-79.39,41.19
-74.31,40.63
-75.69,41.48
-80.37,39.26
-80.28,39.28
-74.43,40.15
-90.57,34.19
-83.42,42.72
-85.76,38.32
-78.57,36.62
-83.15,42.53
-97.12,39.38
-75.47,39.80
-83.39,34.88
-78.45,35.64
-120.95,47.19
-93.36,43.15
-78.40,41.04
-94.06,45.41
-82.76,27.96
-82.74,28.02
-82.73,27.99
-82.72,27.96
-82.83,27.98
-75.04,39.80
-74.98,39.81
-80.38,36.03
-81.68,28.35
-95.10,30.34
-90.72,33.79
