"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"06035","Lassen, CA",28855
"06037","Los Angeles, CA",42564
"06039","Madera, CA",28631
"06041","Marin, CA",85761
"06043","Mariposa, CA",34103
"06045","Mendocino, CA",36211
"06047","Merced, CA",28497
"06049","Modoc, CA",36148
"06051","Mono, CA",41370
"06053","Monterey, CA",41138
"06055","Napa, CA",51253
"06057","Nevada, CA",44313
"06059","Orange, CA",50440
"06061","Placer, CA",48476
"06063","Plumas, CA",39339
"06065","Riverside, CA",29927
"06067","Sacramento, CA",38202
"06069","San Benito, CA",35029
"06071","San Bernardino, CA",29998
"06073","San Diego, CA",46800
"06075","San Francisco, CA",74349
"06077","San Joaquin, CA",31013
"06079","San Luis Obispo, CA",40322
"06081","San Mateo, CA",69577
"06083","Santa Barbara, CA",45219
"06085","Santa Clara, CA",61833
"06087","Santa Cruz, CA",48883
"06089","Shasta, CA",35466
"06091","Sierra, CA",36307
"06093","Siskiyou, CA",33928
"06095","Solano, CA",38078
"06097","Sonoma, CA",45331
"06099","Stanislaus, CA",32115
"06101","Sutter, CA",33908
"06103","Tehama, CA",27592
"06105","Trinity, CA",30389
"06107","Tulare, CA",29640
"06109","Tuolumne, CA",36680
"06111","Ventura, CA",45855
"06113","Yolo, CA",36896
"06115","Yuba, CA",30437
"08001","Adams, CO",33061
"08003","Alamosa, CO",33402
"08005","Arapahoe, CO",48989
"08007","Archuleta, CO",31536
"08009","Baca, CO",44860
"08011","Bent, CO",23827
"08013","Boulder, CO",51893
"08014","Broomfield, CO",40892
"08015","Chaffee, CO",32246
"08017","Cheyenne, CO",57591
"08019","Clear Creek, CO",55335
"08021","Conejos, CO",25638
"08023","Costilla, CO",27127
"08025","Crowley, CO",16752
"08027","Custer, CO",34793
"08029","Delta, CO",31307
"08031","Denver, CO",54537
"08033","Dolores, CO",29250
"08035","Douglas, CO",71463
"08037","Eagle, CO",48618
"08039","Elbert, CO",44606
"08041","El Paso, CO",39909
"08043","Fremont, CO",27440
"08045","Garfield, CO",37858
"08047","Gilpin, CO",43444
"08049","Grand, CO",38504
"08051","Gunnison, CO",34293
"08053","Hinsdale, CO",41284
"08055","Huerfano, CO",31380
"08057","Jackson, CO",44604
"08059","Jefferson, CO",45179
"08061","Kiowa, CO",43447
"08063","Kit Carson, CO",39383
"08065","Lake, CO",29274
"08067","La Plata, CO",43453
"08069","Larimer, CO",39767
"08071","Las Animas, CO",31961
"08073","Lincoln, CO",31153
"08075","Logan, CO",34725
"08077","Mesa, CO",35169
"08079","Mineral, CO",45243
"08081","Moffat, CO",40945
"08083","Montezuma, CO",34015
"08085","Montrose, CO",30933
"08087","Morgan, CO",33489
"08089","Otero, CO",31370
"08091","Ouray, CO",41898
"08093","Park, CO",33936
"08095","Phillips, CO",40055
"08097","Pitkin, CO",79086
"08099","Prowers, CO",33985
"08101","Pueblo, CO",31760
"08103","Rio Blanco, CO",40792
"08105","Rio Grande, CO",34051
"08107","Routt, CO",51628
"08109","Saguache, CO",24820
"08111","San Juan, CO",29854
"08113","San Miguel, CO",47742
"08115","Sedgwick, CO",50745
"08117","Summit, CO",46627
"08119","Teller, CO",42297
"08121","Washington, CO",41158
"08123","Weld, CO",29986
"08125","Yuma, CO",42572
"09001","Fairfield, CT",78504
"09003","Hartford, CT",53974
"09005","Litchfield, CT",53139
"09007","Middlesex, CT",54198
"09009","New Haven, CT",49478
"09011","New London, CT",47452
"09013","Tolland, CT",46624
"09015","Windham, CT",39141
"10001","Kent, DE",33302
"10003","New Castle, DE",46315
"10005","Sussex, DE",34988
"11001","District of Columbia, DC",73783
"12001","Alachua, FL",35816
"12003","Baker, FL",25426
"12005","Bay, FL",37068
"12007","Bradford, FL",29059
"12009","Brevard, FL",38028
"12011","Broward, FL",42768
"12013","Calhoun, FL",22318
"12015","Charlotte, FL",35161
"12017","Citrus, FL",32675
"12019","Clay, FL",33476
"12021","Collier, FL",59264
"12023","Columbia, FL",28209
"12027","DeSoto, FL",24574
"12029","Dixie, FL",20728
"12031","Duval, FL",39858
"12033","Escambia, FL",36047
"12035","Flagler, FL",33170
"12037","Franklin, FL",29147
"12039","Gadsden, FL",27778
"12041","Gilchrist, FL",30828
"12043","Glades, FL",23725
"12045","Gulf, FL",26029
"12047","Hamilton, FL",20005
"12049","Hardee, FL",24898
"12051","Hendry, FL",28285
"12053","Hernando, FL",30729
"12055","Highlands, FL",29809
"12057","Hillsborough, FL",39180
"12059","Holmes, FL",26324
"12061","Indian River, FL",50977
"12063","Jackson, FL",29033
"12065","Jefferson, FL",28954
"12067","Lafayette, FL",19121
"12069","Lake, FL",33846
"12071","Lee, FL",43022
"12073","Leon, FL",36823
"12075","Levy, FL",27231
"12077","Liberty, FL",24211
"12079","Madison, FL",24853
"12081","Manatee, FL",40678
"12083","Marion, FL",32709
"12085","Martin, FL",52798
"12086","Miami-Dade, FL",37834
"12087","Monroe, FL",58941
"12089","Nassau, FL",46099
"12091","Okaloosa, FL",43132
"12093","Okeechobee, FL",25831
"12095","Orange, FL",35990
"12097","Osceola, FL",27171
"12099","Palm Beach, FL",53500
"12101","Pasco, FL",32102
"12103","Pinellas, FL",44622
"12105","Polk, FL",33447
"12107","Putnam, FL",27644
"12109","St. Johns, FL",51677
"12111","St. Lucie, FL",30768
"12113","Santa Rosa, FL",36141
"12115","Sarasota, FL",53769
"12117","Seminole, FL",40914
"12119","Sumter, FL",27824
"12121","Suwannee, FL",27988
"12123","Taylor, FL",27011
"12125","Union, FL",19049
"12127","Volusia, FL",33436
"12129","Wakulla, FL",29157
"12131","Walton, FL",33403
"12133","Washington, FL",24660
"13001","Appling, GA",26781
"13003","Atkinson, GA",22165
"13005","Bacon, GA",24861
"13007","Baker, GA",39650
"13009","Baldwin, GA",28533
"13011","Banks, GA",27985
"13013","Barrow, GA",30556
"13015","Bartow, GA",27762
"13017","Ben Hill, GA",26606
"13019","Berrien, GA",28286
"13021","Bibb, GA",35676
"13023","Bleckley, GA",29787
"13025","Brantley, GA",22900
"13027","Brooks, GA",31531
"13029","Bryan, GA",40085
"13031","Bulloch, GA",24335
"13033","Burke, GA",28549
"13035","Butts, GA",25336
"13037","Calhoun, GA",22287
"13039","Camden, GA",32058
"13043","Candler, GA",25082
"13045","Carroll, GA",28964
"13047","Catoosa, GA",29685
"13049","Charlton, GA",18523
"13051","Chatham, GA",41480
"13053","Chattahoochee, GA",34166
"13055","Chattooga, GA",23576
"13057","Cherokee, GA",36898
"13059","Clarke, GA",25587
"13061","Clay, GA",29996
"13063","Clayton, GA",26755
"13065","Clinch, GA",25834
"13067","Cobb, GA",45923
"13069","Coffee, GA",25110
"13071","Colquitt, GA",27196
"13073","Columbia, GA",42717
"13075","Cook, GA",24944
"13077","Coweta, GA",33842
"13079","Crawford, GA",31327
"13081","Crisp, GA",26565
"13083","Dade, GA",26906
"13085","Dawson, GA",32395
"13087","Decatur, GA",28718
"13089","DeKalb, GA",40262
"13091","Dodge, GA",23183
"13093","Dooly, GA",20384
"13095","Dougherty, GA",28689
"13097","Douglas, GA",29761
"13099","Early, GA",35966
"13101","Echols, GA",23181
"13103","Effingham, GA",34485
"13105","Elbert, GA",28713
"13107","Emanuel, GA",26434
"13109","Evans, GA",27657
"13111","Fannin, GA",28759
"13113","Fayette, GA",44460
"13115","Floyd, GA",33159
