"CA34 Wage and salary summary"
"Wage and salary employment (number of jobs)" 
"Bureau of Economic Analysis" 
"County"
"09013","Tolland, CT",44550
"09015","Windham, CT",40092
"10001","Kent, DE",68550
"10003","New Castle, DE",289694
"10005","Sussex, DE",73917
"11001","District of Columbia, DC",757818
"12001","Alachua, FL",128712
"12003","Baker, FL",7056
"12005","Bay, FL",77925
"12007","Bradford, FL",7395
"12009","Brevard, FL",202854
"12011","Broward, FL",745623
"12013","Calhoun, FL",3167
"12015","Charlotte, FL",44122
"12017","Citrus, FL",33852
"12019","Clay, FL",45075
"12021","Collier, FL",124299
"12023","Columbia, FL",22643
"12027","DeSoto, FL",10490
"12029","Dixie, FL",2586
"12031","Duval, FL",489234
"12033","Escambia, FL",140230
"12035","Flagler, FL",19715
"12037","Franklin, FL",3602
"12039","Gadsden, FL",13352
"12041","Gilchrist, FL",3173
"12043","Glades, FL",2065
"12045","Gulf, FL",3759
"12047","Hamilton, FL",3439
"12049","Hardee, FL",8570
"12051","Hendry, FL",14680
"12053","Hernando, FL",39093
"12055","Highlands, FL",30136
"12057","Hillsborough, FL",621898
"12059","Holmes, FL",3649
"12061","Indian River, FL",49810
"12063","Jackson, FL",15249
"12065","Jefferson, FL",2753
"12067","Lafayette, FL",1795
"12069","Lake, FL",84559
"12071","Lee, FL",211668
"12073","Leon, FL",149569
"12075","Levy, FL",9095
"12077","Liberty, FL",2120
"12079","Madison, FL",4547
"12081","Manatee, FL",110228
"12083","Marion, FL",95976
"12085","Martin, FL",60838
"12086","Miami-Dade, FL",1059158
"12087","Monroe, FL",38780
"12089","Nassau, FL",18907
"12091","Okaloosa, FL",96144
"12093","Okeechobee, FL",11107
"12095","Orange, FL",701894
"12097","Osceola, FL",78436
"12099","Palm Beach, FL",541736
"12101","Pasco, FL",105288
"12103","Pinellas, FL",407164
"12105","Polk, FL",205640
"12107","Putnam, FL",18500
"12109","St. Johns, FL",58999
"12111","St. Lucie, FL",69193
"12113","Santa Rosa, FL",35987
"12115","Sarasota, FL",145063
"12117","Seminole, FL",166850
"12119","Sumter, FL",23598
"12121","Suwannee, FL",11710
"12123","Taylor, FL",7151
"12125","Union, FL",4075
"12127","Volusia, FL",160876
"12129","Wakulla, FL",5509
"12131","Walton, FL",20695
"12133","Washington, FL",6408
"13001","Appling, GA",6789
"13003","Atkinson, GA",1680
"13005","Bacon, GA",3607
"13007","Baker, GA",622
"13009","Baldwin, GA",16598
"13011","Banks, GA",4762
"13013","Barrow, GA",15998
"13015","Bartow, GA",33564
"13017","Ben Hill, GA",6344
"13019","Berrien, GA",4192
"13021","Bibb, GA",86688
"13023","Bleckley, GA",3698
"13025","Brantley, GA",2240
"13027","Brooks, GA",3587
"13029","Bryan, GA",6357
"13031","Bulloch, GA",24545
"13033","Burke, GA",6687
"13035","Butts, GA",6118
"13037","Calhoun, GA",1520
"13039","Camden, GA",19190
"13043","Candler, GA",2971
"13045","Carroll, GA",38249
"13047","Catoosa, GA",14160
"13049","Charlton, GA",2395
"13051","Chatham, GA",147216
"13053","Chattahoochee, GA",19433
"13055","Chattooga, GA",6071
"13057","Cherokee, GA",48575
"13059","Clarke, GA",71380
"13061","Clay, GA",737
"13063","Clayton, GA",107557
"13065","Clinch, GA",2512
"13067","Cobb, GA",316939
"13069","Coffee, GA",15741
"13071","Colquitt, GA",15701
"13073","Columbia, GA",31799
"13075","Cook, GA",4039
"13077","Coweta, GA",33421
"13079","Crawford, GA",1462
"13081","Crisp, GA",7765
"13083","Dade, GA",3314
"13085","Dawson, GA",7946
"13087","Decatur, GA",8963
"13089","DeKalb, GA",302279
"13091","Dodge, GA",5973
"13093","Dooly, GA",3185
"13095","Dougherty, GA",51420
"13097","Douglas, GA",39336
"13099","Early, GA",4554
"13101","Echols, GA",658
"13103","Effingham, GA",9894
"13105","Elbert, GA",6096
"13107","Emanuel, GA",7151
"13109","Evans, GA",4562
"13111","Fannin, GA",5781
"13113","Fayette, GA",39764
"13115","Floyd, GA",39137
"13117","Forsyth, GA",60335
"13119","Franklin, GA",7208
"13121","Fulton, GA",786281
"13123","Gilmer, GA",7793
"13125","Glascock, GA",438
"13127","Glynn, GA",37296
"13129","Gordon, GA",20721
"13131","Grady, GA",6486
"13133","Greene, GA",5338
"13135","Gwinnett, GA",328498
"13137","Habersham, GA",13762
"13139","Hall, GA",75939
"13141","Hancock, GA",1367
"13143","Haralson, GA",7491
"13145","Harris, GA",4363
"13147","Hart, GA",6717
"13149","Heard, GA",2476
"13151","Henry, GA",52775
"13153","Houston, GA",64978
"13155","Irwin, GA",2144
"13157","Jackson, GA",19736
"13159","Jasper, GA",2120
"13161","Jeff Davis, GA",4481
"13163","Jefferson, GA",5159
"13165","Jenkins, GA",1396
"13167","Johnson, GA",1845
"13169","Jones, GA",3935
"13171","Lamar, GA",3617
"13173","Lanier, GA",1587
"13175","Laurens, GA",18587
"13177","Lee, GA",5695
"13179","Liberty, GA",38729
"13181","Lincoln, GA",1470
"13183","Long, GA",1071
"13185","Lowndes, GA",53521
"13187","Lumpkin, GA",7144
"13189","McDuffie, GA",7333
"13191","McIntosh, GA",2075
"13193","Macon, GA",3374
"13195","Madison, GA",3619
"13197","Marion, GA",1580
"13199","Meriwether, GA",5147
"13201","Miller, GA",1748
"13205","Mitchell, GA",8802
"13207","Monroe, GA",6988
"13209","Montgomery, GA",1793
"13211","Morgan, GA",6524
"13213","Murray, GA",10343
"13215","Muscogee, GA",105477
"13217","Newton, GA",21660
"13219","Oconee, GA",9006
"13221","Oglethorpe, GA",2073
"13223","Paulding, GA",21203
"13225","Peach, GA",8802
"13227","Pickens, GA",7461
"13229","Pierce, GA",4156
"13231","Pike, GA",2575
"13233","Polk, GA",11687
"13235","Pulaski, GA",2925
"13237","Putnam, GA",6140
"13239","Quitman, GA",424
"13241","Rabun, GA",4971
"13243","Randolph, GA",2091
"13245","Richmond, GA",117125
"13247","Rockdale, GA",31608
"13249","Schley, GA",1141
"13251","Screven, GA",3720
"13253","Seminole, GA",2453
"13255","Spalding, GA",22939
"13257","Stephens, GA",9596
"13259","Stewart, GA",1350
"13261","Sumter, GA",11699
"13263","Talbot, GA",973
"13265","Taliaferro, GA",229
"13267","Tattnall, GA",6557
"13269","Taylor, GA",1915
"13271","Telfair, GA",3874
"13273","Terrell, GA",2524
"13275","Thomas, GA",22581
"13277","Tift, GA",19702
"13279","Toombs, GA",11673
"13281","Towns, GA",3373
"13283","Treutlen, GA",1318
"13285","Troup, GA",35811
"13287","Turner, GA",2416
"13289","Twiggs, GA",1130
"13291","Union, GA",6641
"13293","Upson, GA",7616
"13295","Walker, GA",13839
"13297","Walton, GA",20344
"13299","Ware, GA",15943
"13301","Warren, GA",1223
"13303","Washington, GA",7393
"13305","Wayne, GA",8830
"13307","Webster, GA",591
"13309","Wheeler, GA",1593
"13311","White, GA",6393
"13313","Whitfield, GA",55885
"13315","Wilcox, GA",1490
"13317","Wilkes, GA",3207
"13319","Wilkinson, GA",3085
"13321","Worth, GA",3974
"15001","Hawaii, HI",66820
"15003","Honolulu, HI",506813
"15007","Kauai, HI",29988
"15901","Maui + Kalawao, HI",70831
"16001","Ada, ID",207419
"16003","Adams, ID",1083
"16005","Bannock, ID",33948
"16007","Bear Lake, ID",1925
"16009","Benewah, ID",3610
"16011","Bingham, ID",15591
"16013","Blaine, ID",12714
"16015","Boise, ID",1623
"16017","Bonner, ID",13660
"16019","Bonneville, ID",45247
"16021","Boundary, ID",3781
"16023","Butte, ID",8698
"16025","Camas, ID",418
"16027","Canyon, ID",53885
"16029","Caribou, ID",3364
"16031","Cassia, ID",10526
"16033","Clark, ID",534
"16035","Clearwater, ID",3004
"16037","Custer, ID",1815
"16039","Elmore, ID",10382
"16041","Franklin, ID",3320
"16043","Fremont (includes Yellowstone Park), ID",3099
"16045","Gem, ID",3333
"16047","Gooding, ID",6267
"16049","Idaho, ID",4559
"16051","Jefferson, ID",6142
"16053","Jerome, ID",8556
"16055","Kootenai, ID",55041
"16057","Latah, ID",15283
"16059","Lemhi, ID",2671
"16061","Lewis, ID",1649
"16063","Lincoln, ID",1647
"16065","Madison, ID",13864
"16067","Minidoka, ID",7056
"16069","Nez Perce, ID",21405
"16071","Oneida, ID",1145
"16073","Owyhee, ID",2695
"16075","Payette, ID",6456
"16077","Power, ID",3531
"16079","Shoshone, ID",4731
