"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2009","2010","2011"
"09007","Middlesex, CT",50831,52153,54198
"09009","New Haven, CT",45668,47118,49478
"09011","New London, CT",44658,45696,47452
"09013","Tolland, CT",43787,44839,46624
"09015","Windham, CT",36774,37658,39141
"10001","Kent, DE",31585,32078,33302
"10003","New Castle, DE",42674,43561,46315
"10005","Sussex, DE",33570,34208,34988
"11001","District of Columbia, DC",68093,71220,73783
"12001","Alachua, FL",33384,34829,35816
"12003","Baker, FL",24548,24734,25426
"12005","Bay, FL",34632,36050,37068
"12007","Bradford, FL",26637,27979,29059
"12009","Brevard, FL",36011,36675,38028
"12011","Broward, FL",40064,41511,42768
"12013","Calhoun, FL",20513,21867,22318
"12015","Charlotte, FL",33188,33662,35161
"12017","Citrus, FL",30379,31316,32675
"12019","Clay, FL",31988,32239,33476
"12021","Collier, FL",54891,57321,59264
"12023","Columbia, FL",25948,27563,28209
"12027","DeSoto, FL",22186,23712,24574
"12029","Dixie, FL",19565,20234,20728
"12031","Duval, FL",37603,38626,39858
"12033","Escambia, FL",33667,34567,36047
"12035","Flagler, FL",30253,31595,33170
"12037","Franklin, FL",26588,28222,29147
"12039","Gadsden, FL",26117,27161,27778
"12041","Gilchrist, FL",28047,29779,30828
"12043","Glades, FL",21157,22276,23725
"12045","Gulf, FL",24342,25289,26029
"12047","Hamilton, FL",17952,19216,20005
"12049","Hardee, FL",23091,24054,24898
"12051","Hendry, FL",25915,27773,28285
"12053","Hernando, FL",28493,29743,30729
"12055","Highlands, FL",27534,28751,29809
"12057","Hillsborough, FL",35914,38382,39180
"12059","Holmes, FL",24328,25391,26324
"12061","Indian River, FL",47689,48726,50977
"12063","Jackson, FL",26270,27772,29033
"12065","Jefferson, FL",27382,28106,28954
"12067","Lafayette, FL",18206,18678,19121
"12069","Lake, FL",31457,32554,33846
"12071","Lee, FL",39563,41548,43022
"12073","Leon, FL",33874,35957,36823
"12075","Levy, FL",24205,25897,27231
"12077","Liberty, FL",22572,23683,24211
"12079","Madison, FL",23064,24215,24853
"12081","Manatee, FL",37417,39419,40678
"12083","Marion, FL",30062,31475,32709
"12085","Martin, FL",49504,50758,52798
"12086","Miami-Dade, FL",35333,36846,37834
"12087","Monroe, FL",54773,56415,58941
"12089","Nassau, FL",41149,44185,46099
"12091","Okaloosa, FL",39306,41109,43132
"12093","Okeechobee, FL",24663,25164,25831
"12095","Orange, FL",33461,34916,35990
"12097","Osceola, FL",24973,26149,27171
"12099","Palm Beach, FL",50740,51717,53500
"12101","Pasco, FL",29177,30530,32102
"12103","Pinellas, FL",40487,42986,44622
"12105","Polk, FL",30562,32392,33447
"12107","Putnam, FL",25661,27024,27644
"12109","St. Johns, FL",46717,49269,51677
"12111","St. Lucie, FL",28680,29574,30768
"12113","Santa Rosa, FL",33486,34357,36141
"12115","Sarasota, FL",50100,51760,53769
"12117","Seminole, FL",39370,39596,40914
"12119","Sumter, FL",24993,26699,27824
"12121","Suwannee, FL",25596,27224,27988
"12123","Taylor, FL",24527,26171,27011
"12125","Union, FL",17995,18497,19049
"12127","Volusia, FL",30998,32339,33436
"12129","Wakulla, FL",27575,28231,29157
"12131","Walton, FL",29289,31910,33403
"12133","Washington, FL",23020,23926,24660
"13001","Appling, GA",25131,25756,26781
"13003","Atkinson, GA",20773,21138,22165
"13005","Bacon, GA",23659,23853,24861
"13007","Baker, GA",30653,33333,39650
