Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,1065,"Hale, AL",1465,1907,2184,2325,2615,2709,2965,3393,3579,4130,4416,4769,5318,5822,6296,7132,8150,8726,8891,9641,10154,10928,11552,12274,13022,13610,14289,14412,14628,15291,16522,16297,17044,17843,19200,20391,21975,23694,24226,25431
3,1067,"Henry, AL",2023,2473,2602,3071,3661,4425,4817,5213,5367,5784,6115,6537,7618,8083,8366,10090,9931,10370,11077,12162,12920,13014,14040,15356,14978,16229,16933,17567,18531,18892,19810,19847,21957,22739,23204,23353,25319,25866,27050,28022
3,1069,"Houston, AL",2810,3088,3357,3622,4297,4505,4721,5456,5922,6512,7021,8032,9463,9662,10191,11575,12244,12971,13766,14835,16378,16324,16796,17968,17927,19116,20268,20515,21348,22884,23717,24696,26249,27234,27652,29524,31141,32759,34683,35289
3,1071,"Jackson, AL",2562,2773,3018,3291,3812,4289,4749,5471,5647,6271,6631,7003,8098,8358,8582,9270,10219,10667,11546,12491,13227,14524,15145,15778,16304,16943,17517,17990,18820,19228,20291,21690,22009,21882,22786,24322,25643,26775,27869,28842
3,1073,"Jefferson, AL",3378,3598,3874,4284,4756,5401,5920,6524,7124,7927,8756,9589,10428,11067,11675,12770,13708,14437,15204,16308,17741,18945,19665,20676,21340,22626,23832,24824,25941,27529,28722,31235,32295,33799,34728,37482,39005,41370,42551,43180
3,1075,"Lamar, AL",2013,2350,2567,2615,3131,3337,3560,4262,4869,5728,6368,6883,7585,7851,8625,9647,10320,10477,10881,11641,12600,13257,13771,14474,14934,15448,16514,16786,17270,18259,18538,18810,20416,20439,20784,21176,22600,23821,24871,25502
3,1077,"Lauderdale, AL",2752,2974,3236,3535,3815,4198,4562,5192,5640,6309,6932,7717,8599,9011,9566,10379,11023,11688,12445,13558,14457,15729,16237,17083,17502,18528,19547,19948,20377,20935,21489,22335,23468,23606,24302,25463,26999,28287,30277,31118
3,1079,"Lawrence, AL",2287,2678,2734,2810,3284,3342,3927,4259,4592,5018,6076,6516,7337,7495,7724,8929,9688,10281,10380,11090,11979,12733,13578,14545,14888,16209,16444,16824,17227,19090,19777,20116,21069,20767,22655,23471,24301,25180,26823,28946
3,1081,"Lee, AL",2640,2655,2922,3295,3619,3812,4211,4784,5379,5990,6473,7307,7891,8248,9124,10026,10609,11002,11780,12421,13625,14019,14521,15479,15962,16782,17440,17775,18384,19180,19896,20577,21089,21747,22553,23884,24748,26123,27476,27749
3,1083,"Limestone, AL",2624,2903,3183,3329,3675,3987,4311,4809,5273,5890,6888,7368,8445,8935,9347,10917,11948,12502,13104,14575,14688,15507,16305,17321,17365,18293,18787,19228,19799,21093,21355,22471,23660,24126,26763,26747,28239,29751,30575,31130
3,1085,"Lowndes, AL",1513,2081,2278,2810,3410,3051,3493,4390,3842,4492,5250,5100,5416,6182,6692,7173,7868,8221,8899,10030,10875,10734,11426,11845,12353,13128,13512,14206,15163,15781,16828,17758,18565,18607,19712,21997,23233,24248,25358,27568
3,1087,"Macon, AL",2014,2301,2498,2681,2992,3261,3315,3644,3906,4326,4915,5350,5757,6133,6882,7660,8262,8645,8963,9442,9992,10482,11321,11844,12338,13263,13954,14361,14654,14825,15354,15706,16322,16842,17617,19216,20254,21434,22580,24725
3,1089,"Madison, AL",3549,3782,4079,4419,4751,5221,5582,6195,6735,7519,8198,9018,10066,10987,12003,13508,14672,15600,16770,17746,19050,20181,20900,21925,21709,22031,23198,24005,25513,26744,27169,29109,29478,30343,31448,32966,34784,36608,38679,39954
3,1091,"Marengo, AL",1826,2232,2420,2590,2942,3141,3530,4173,4289,5092,5829,6243,7022,7613,8059,8529,9100,9798,10354,11055,11967,12968,13911,14727,15278,16407,16984,17722,18365,19625,21113,21520,22994,23437,24158,25948,27485,28684,29522,30422
3,1093,"Marion, AL",2269,2542,2679,2994,3337,3368,3602,4177,4603,5289,5886,6235,6901,7523,7961,8784,9275,9652,10147,10735,11513,11890,12651,13637,14338,15214,16325,16690,17336,18208,18692,18326,18843,19699,20508,22650,24263,24797,25991,26816
3,1095,"Marshall, AL",2671,2886,3067,3451,3873,4107,4667,5167,5534,6156,6933,7576,8364,8669,9397,10469,11088,11822,12204,13138,14455,15008,15919,17215,18026,18890,20030,19823,19924,20806,20972,21705,23705,23949,25121,26561,27456,28130,29443,30046
